,カウント,打率,打数,安打,本塁打,打点,三振,四球,死球,犠打,犠飛
0,0-0,.468,47,22,8,17,0,0,1,0,1
1,0-1,.391,23,9,4,8,0,0,0,0,1
2,0-2,.091,22,2,1,1,12,0,0,0,0
3,1-0,.370,27,10,2,7,0,0,0,0,0
4,1-1,.417,24,10,3,7,0,0,0,0,0
5,1-2,.175,57,10,3,10,28,0,0,0,0
6,2-0,.625,8,5,1,3,0,0,0,0,0
7,2-1,.333,15,5,3,5,0,0,0,0,0
8,2-2,.245,53,13,2,3,25,0,0,0,0
9,3-0,1.000,1,1,0,0,0,15,0,0,0
10,3-1,.600,5,3,1,1,0,11,0,0,0
11,3-2,.200,45,9,3,6,20,21,0,0,0
