,平均打率,安打差,二塁打差,三塁打差,本塁打差,塁打差,得点差,三振差,四球差,死球差,犠打差,犠飛差,盗塁差,盗塁死差,併殺打差,平均出塁率,平均長打率,平均ＯＰＳ,平均得点圏,登板差,先発差,完投差,ＱＳ差,勝利差,敗戦差,ホールド差,セーブ差,被安打差,被本塁打差,奪三振差,与四球差,与死球差,暴投差,ボーク差,失点差,自責点差,防御率,投球回,勝率,奪三振率,被打率,Ｋ／ＢＢ,ＷＨＩＰ,point
アウェー,0.2317777777777778,8.0,-1.0,0.0,-9.0,-20.0,-4.0,3.0,-8.0,-2.0,4.0,6.0,4.0,1.0,8.0,0.28155555555555556,0.3668888888888889,0.6485555555555556,0.20544444444444443,-7.0,-7.0,0.0,-3.0,0.0,-3.0,0.0,0.0,-49.0,-4.0,-33.0,-10.0,-2.0,0.0,0.0,-24.0,-22.0,9.35,8.2,0.5,9.35,0.286,2.25,1.62,9
ホーム,0.24600000000000005,19.0,0.0,10.0,-6.0,21.0,-1.0,28.0,-23.0,2.0,-2.0,5.0,-10.0,1.0,-5.0,0.30622222222222223,0.37855555555555553,0.6847777777777778,0.2722222222222222,0.0,0.0,0.0,-4.0,1.0,0.0,0.0,0.0,3.0,-2.0,-29.0,3.0,-2.0,-1.0,0.0,3.0,0.0,4.89,42.1,0.4,9.14,0.301,3.91,1.51,1
アウェー,0.2363333333333333,-19.0,0.0,-10.0,6.0,-21.0,1.0,-28.0,23.0,-2.0,2.0,-5.0,10.0,-1.0,5.0,0.3141111111111112,0.39100000000000007,0.7050000000000001,0.24022222222222223,0.0,0.0,0.0,4.0,-1.0,0.0,0.0,0.0,-3.0,2.0,29.0,-3.0,2.0,1.0,0.0,-3.0,0.0,3.79,54.2,0.25,11.85,0.242,9.0,1.06,9
ホーム,0.23388888888888892,-100.0,-14.0,-11.0,-41.0,-259.0,-98.0,-53.0,-37.0,-4.0,2.0,-8.0,-19.0,3.0,8.0,0.2884444444444444,0.3542222222222222,0.6426666666666666,0.23977777777777776,4.0,4.0,0.0,4.0,4.0,-1.0,0.0,0.0,22.0,2.0,34.0,9.0,1.0,0.0,0.0,6.0,7.0,3.15,40.0,0.8,9.9,0.243,2.93,1.3,6
アウェー,0.2545555555555556,100.0,14.0,11.0,41.0,259.0,98.0,53.0,37.0,4.0,-2.0,8.0,19.0,-3.0,-8.0,0.31533333333333335,0.464,0.7796666666666666,0.2793333333333334,-4.0,-4.0,0.0,-4.0,-4.0,1.0,0.0,0.0,-22.0,-2.0,-34.0,-9.0,-1.0,0.0,0.0,-6.0,-7.0,5.56,11.1,0.0,7.94,0.306,1.67,1.85,8
ホーム,0.238,-46.0,-22.0,-1.0,-7.0,-91.0,-46.0,1.0,-11.0,-13.0,2.0,-2.0,-6.0,-2.0,-6.0,0.30188888888888893,0.3893333333333333,0.6912222222222222,0.22566666666666668,-5.0,-9.0,0.0,-4.0,-1.0,-2.0,0.0,0.0,-28.0,-6.0,-19.0,-13.0,0.0,0.0,0.0,-17.0,-17.0,2.89,9.1,1.0,9.64,0.25,0.0,0.96,11
アウェー,0.241,46.0,22.0,1.0,7.0,91.0,46.0,-1.0,11.0,13.0,-2.0,2.0,6.0,2.0,6.0,0.32288888888888884,0.39955555555555555,0.7223333333333333,0.2576666666666667,5.0,9.0,0.0,4.0,1.0,2.0,0.0,0.0,28.0,6.0,19.0,13.0,0.0,0.0,0.0,17.0,17.0,3.53,51.0,0.5,5.12,0.203,2.23,0.98,5
ホーム,0.239,-6.0,-5.0,9.0,-3.0,-2.0,-4.0,34.0,-3.0,3.0,-2.0,1.0,-11.0,-1.0,-16.0,0.31666666666666665,0.3775555555555556,0.6945555555555556,0.24688888888888888,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,-22.0,-6.0,-4.0,-4.0,2.0,0.0,0.0,-15.0,-17.0,3.0,18.0,0.5,9.5,0.167,3.17,0.94,6
アウェー,0.2416666666666667,6.0,5.0,-9.0,3.0,2.0,4.0,-34.0,3.0,-3.0,2.0,-1.0,11.0,1.0,16.0,0.31866666666666665,0.39066666666666666,0.7093333333333334,0.2561111111111111,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,4.0,4.0,-2.0,0.0,0.0,15.0,17.0,6.75,30.2,0.5,6.75,0.27,2.3,1.4,2
ホーム,0.21455555555555555,-13.0,13.0,1.0,-11.0,-31.0,-5.0,-89.0,-19.0,6.0,5.0,-1.0,29.0,0.0,-10.0,0.294,0.3561111111111111,0.650111111111111,0.2283333333333333,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,-11.0,0.0,0.0,1.0,3.0,8.0,3.99,56.1,0.5,8.63,0.237,10.8,1.01,6
